#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,color_gr,color_ug
203.315716720941,62.6005876722857,14.95482,13.71897,13.31169,13.14845,13.10749,0.4072752,1.235855
203.315730091257,-3.46405490321094,12.91529,11.89296,11.259,11.1318,11.36273,0.633955,1.022331
203.315735755004,62.6006002098424,14.9776,13.70272,13.29714,15.42235,13.09528,0.4055824,1.274881
203.315745989816,62.6005942194996,15.00141,13.75838,13.27476,13.68618,13.09534,0.4836206,1.243032
203.315748354808,62.6005998033148,15.00057,13.73726,13.28568,13.11657,13.06145,0.4515772,1.263314
182.891546155386,38.3857463128927,16.27381,14.21458,13.3813,13.09334,12.96436,0.8332796,2.059227
84.9950733857071,31.5916833109675,17.64812,14.93254,13.51768,12.8563,12.39135,1.414857,2.715587
84.9952100982728,5.55505157794566,17.13076,14.62421,13.43996,12.90994,12.55857,1.184246,2.506556
84.995253010098,2.09614939706046,13.09732,11.58484,11.23499,15.32015,11.05171,0.3498554,1.512483
84.9952724491062,2.09615612707536,13.0751,11.55396,11.23956,11.11173,11.12957,0.3144026,1.521137
121.13120395813,-7.75345652529959,14.81681,13.54244,13.10552,12.94747,12.90056,0.4369192,1.274364
121.131243362754,-7.75341279182576,14.82202,13.55135,13.09013,12.93653,12.90343,0.4612179,1.270665
121.13124513922,22.1041930614082,15.1642,13.8886,13.44767,13.34477,13.15128,0.4409285,1.275599
347.552743965923,61.5638976936244,16.32338,14.8224,14.0735,13.77736,13.5435,0.7489014,1.500984
347.552746117019,61.563893362602,16.30126,14.7909,14.08909,14.29272,13.55502,0.7018118,1.510364
257.239675601162,24.9810928821346,15.97625,13.79165,12.97096,12.68241,12.48982,0.8206882,2.184605
8.50280652983145,5.17689238671779,15.34835,12.99448,12.12702,11.79723,12.1286,0.8674679,2.353869
8.50288297984946,28.1761890464365,15.38579,13.99321,14.14437,13.3338,13.27918,-0.151166,1.39259
245.087791281805,36.2161404698196,13.44809,12.10187,11.52738,11.35864,12.082,0.5744877,1.346217
245.087800767081,36.2161374544265,13.47011,12.24236,11.53168,11.34797,12.57083,0.7106781,1.227745
212.513125747895,-17.2828550646955,16.18758,14.85495,14.35641,14.19239,14.13537,0.4985447,1.332625
212.513147572518,-13.9234003506414,14.71448,13.17627,12.6284,12.44771,12.34897,0.5478649,1.53821
333.471787542814,14.4530931527809,14.48341,13.31787,13.00812,14.32968,12.91601,0.3097486,1.16554
37.0341082532798,-1.07644543032077,16.31404,14.28539,14.77383,13.23545,13.05942,-0.4884386,2.028654
37.0341220561194,-1.07646454691368,16.31008,14.2938,13.54547,13.22596,13.04663,0.7483311,2.016282
37.0341478086486,-1.07646461516074,16.29619,14.29886,13.55757,13.17829,13.06268,0.741293,1.997332
37.034151907279,-1.07652440786031,16.30259,14.30395,13.49598,13.20203,13.06764,0.8079672,1.998641
37.0341609676115,-18.3943312543786,16.01115,14.84648,14.48027,14.36563,14.33091,0.3662128,1.164674
37.0341615538727,-1.07646864794343,16.32642,14.29644,13.55088,13.23867,13.09149,0.7455606,2.029975
37.0341726130806,-1.07650440993004,16.29144,14.3121,13.4965,13.25145,13.06567,0.8155966,1.97934
37.0341756270241,-1.07651819423189,16.31181,14.31314,13.49778,14.21972,13.06435,0.8153639,1.998666
37.0341758526215,-1.07653599148745,16.32566,14.32646,14.67586,14.31236,13.07352,-0.3494043,1.999203
37.0341813731107,-1.07652314904713,16.31807,14.30784,13.71753,13.4579,13.05742,0.5903082,2.010235
